creator_address,creator_sol_balance,creator_token_count,creator_tx_count,creator_nft_count,creator_wallet_age_hours,creator_first_tx_ts,creator_prev_rugs,creator_total_tokens,creator_rug_rate
Dne3rr83v511tNPhBDqCCQjyajLoTSRCTaRmsyW3BDhg,0.084036601,90.0,1000,1,19938.174713926117,1699916462.0,0,1,0.0
4SP9TJtxuu8RvkJW9YL3Ga7bpKpqsmEEWAo5UTzyn2hx,0.009007058,18.0,49,1,38368.13357919196,1633568610.0,0,1,0.0
3FQ3kojPfeBmc34cDX25hdT5Wpagh2m8dCHHhtAbSqpp,0.001205411,783.0,1000,1,,,0,1,0.0
5xgoan733jM79q8QJ2WUq58weJVEnDeyF4SgbN7oNRow,0.07680288,6.0,21,1,37457.13253772941,1636848212.0,0,1,0.0
Ciccj4TarTbNbJiTJDx5u7Wv5CpaTkC8ub6VhHLU1hu8,46.664423849,166.0,1000,1,35390.18476230641,1644289223.0,0,1,0.0
D6XrcBDuBi2RYrkie65WfpQZ8xmtD1kCNkgYt5tbCZox,0.0,24.0,739,1,41955.28563820501,1620654861.0,0,1,0.0
3BEo1GT5PxGpbe2EcFXEtECPTvRdwf8DuoQcrbz8ee7s,0.007918738,91.0,498,1,17535.025670783056,1708567796.0,0,1,0.0
Fg9qfBBzH8BBfZvnf7gfi1RxMESVH2upwd8NJfyNu8mi,0.000919398,30.0,1000,1,4407.410761426621,1755827210.0,0,1,0.0
CtQrFAVKe2VYAKptEFWrrgXT7HDfS5rN6zp3v7FTG5pZ,2.027106777,98.0,471,1,41214.44546974864,1623321885.0,0,1,0.0
DLNX5FsVmqHw4HbrF8APysDfrLC2uy5ccmko2LCn5efT,0.029621537,,60,1,37507.20992164969,1636667936.0,0,1,0.0
7oeCsASChFVkLn3Xy2T3CzE1opkb1jAYmNtULdH1kxji,0.0,3.0,360,1,36734.7979287478,1639448617.0,0,1,0.0
EpwQMtLubpiY2gjU34AxZkeX1SfQk8E7TXdT6ViN1TKm,0.00117624,0.0,113,1,42791.668860773905,1617643884.0,0,1,0.0
7YAoBBzHqRBx4Tqfqy5SG5366SWFMUztUAHc9sdhpptv,0.0,0.0,1000,1,35558.15855095168,1643684520.0,1,1,1.0
5CVWAgaUeF2wZQuotbeHM1huYEev1EvyK1HrcwEZUTDm,,11.0,138,1,33580.49156166805,1650804123.0,1,1,1.0
5WagH3Pg3wi16qpLA82o2Yo2RPDjztuANcr1j8uKFven,1.3704053,113.0,1000,1,252.1673049491644,1770786087.0,0,1,0.0
5ZNkbmon3ZEkxJgLJnkSe6pUkK2trYMoE8MHpNcoQFMV,0.403428201,142.0,1000,1,17089.958459697762,1710170039.0,0,1,0.0
