MINT,jup_mint_listed,jup_has_price,jup_price_usd,jup_confidence
EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,,
5L87fjh5XZWERN4UGbK62TM1funxFvXSRUGmvbHBGqn1,0,0,,
A94X2fRy3wydNShU4dRaDyap2UuoeWJGWyATtyp61WZf,0,0,,
9QBTKuSCDaJjtxYnYcVzoiKENMdJ5DRei5ZUCEeWyZnj,0,0,,
meebAU3nZrU5PbUt3dVK6ExgbNWCUAkV7C3DaJKMZZ4,0,0,,
BiDB55p4G3n1fGhwKFpxsokBMqgctL4qnZpDH1bVQxMD,0,0,,
Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,0,0,,
7Af1biRuBcAQTEU3YkWaGGtQDFoxYmqLMyrBNQKnuogn,0,0,,
HBxHiTHpmnps5ALo2jzZbVmUzPPpZsUT8wN8KtqkBU9h,0,0,,
7H4Co5vUfRGuYCHFitwCr2iCvKpv7QiRA8hFfwa1y4x3,0,0,,
So11111111111111111111111111111111111111112,0,0,,
4qw5MNc9oLKS22hiFTK6TNBHCqegDK3qzhMDgawtwnUL,0,0,,
F5f9hLQ6FNHwuU3dS8CUCRy9r2deJXYCinDL6RAxsPeX,0,0,,
F3nefJBcejYbtdREjui1T9DPh5dBgpkKq7u2GAAMXs5B,0,0,,
4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,0,0,,
MEANeD3XDdUmNMsRGjASkSWdC8prLYsoRJ61pPeHctD,0,0,,
45HfvXJHY9msY2i4EmUpume1mSMLUvdaWsJRbctAobQM,0,0,,
AFbX8oGjGpmVFywbVouvhQSRmiW2aR1mohfahi4Y2AdB,0,0,,
3HaDnJ2PEt7v7RE8dPaSzSCgBL5dWvWtTkGaEGs5ap3N,0,0,,
Basis9oJw9j8cw53oMV7iqsgo6ihi9ALw4QR31rcjUJa,0,0,,
665t3SYTfoVtaRPP7QRbBG3V7ePVtWVKQXYkSaUfxS7u,0,0,,
UNQtEecZ5Zb4gSSVHCAWUQEoNnSVEbWiKCi1v9kdUJJ,0,0,,
9XYbEGVjBK2BWvtvjoJBZtnoHtkkdGiw321tdN6eLa4A,0,0,,
A5UevXJdphkzXhRtTXj8JyoYYrWnkCLHVS986JHtRLyj,0,0,,
Gz3u6eJaKEviYpPC5AwUziz891kNX76PNdsmJrnaNNY4,0,0,,
7vKX5rx57VPE1ozJesFzojdPjGZ3M89894PT27i6seUF,0,0,,
3iBZV8gvUFxp333FFogUPVi6MP9dEZ74xUxVzEQvNPii,0,0,,
43q34gUCKfgBQcJSNq2M4s8uVGuGtfAFQXES1BzW5UBv,0,0,,
EctmRn2jMAdTDvQdG7mxadyiTvhGZiGYNrt9PWe6zioG,0,0,,
5j81MNxc3ru546HtUKq5b3qDg9qmqATZz89MYyKhdwhm,0,0,,
CAPYD6Lrm7bTZ6C7t7JvSxvpEcfKQ9YNB7kUjh6p6XBN,0,0,,
H2rMQMa6kPpWwg2GraKyiiPwnayDBoBNg9WNVuafqXKc,0,0,,
5Z7bWSvcxVeUkroSypFW3Tsw7vPoJUcCxhTFNenLxNoR,0,0,,
FmpqmVcT4hSUfNhach31YUpf6M75bBYaC59JLMyCVNHH,0,0,,
4NGNdLiQ1KG8GgqZimKku4WCLdXbNw6UQJvqax3fE6CJ,0,0,,
6thBfacY24FpPwwtE91awkBQ2qrnHuyUX5BxpX9YsSdF,0,0,,
BBdrgbSeqcQsMP7Wo9Nv2Xac94UPiKjR9tEBS6Kz7NFp,0,0,,
FiFxBfTSqcz6vWRbp5TKbyhgfkXauSfHiRwxKqMcbuNA,0,0,,
CrhUSH7FDwB37BYvPsVnVbsGVeE81biBzfkD4A4fyJMv,0,0,,
GV3MjuGin8aTG6Rhc1vR1QFYp8gq5vW39jnNPLrbzmPi,0,0,,
EcFyPDjqpnyMvh1LhACtC6rrCZ41DMez7RZYocjhmUVS,0,0,,
BygDd5LURoqztD3xETc99WCxLUbTi6WYSht9XiBgZ4HW,0,0,,
PRSMNsEPqhGVCH1TtWiJqPjJyh2cKrLostPZTNy1o5x,0,0,,
AAmGoPDFLG6bE82BgZWjVi8k95tj9Tf3vUN7WvtUm2BU,0,0,,
3PNqq4kEqgRSkV5dYdcc6mtoaoXdaun9ytoCr4BgX5yA,0,0,,
At5j3zhbEj8mfFsSy1MPbjVhrX2uNmRMPEDZiyFcETNX,0,0,,
5y6abqRgxesWCH7xCi5efntYxoZyDxFbBvgHTJS6b2Rm,0,0,,
2FKuYE5D75e9Fjg3ymGBrFfVc8tVKac4SeyvZn5dGNUz,0,0,,
Dh2WZdzcpoGuYgwbRUqt9feBwNiwkE6yg38zNSuV3Kmv,0,0,,
6VYF5jXq6rfq4QRgGMG6co7b1Ev1Lj7KSbHBxfQ9e1L3,0,0,,
Fm9rHUTF5v3hwMLbStjZXqNBBoZyGriQaFM6sTFz3K8A,0,0,,
7xd71KP4HwQ4sM936xL8JQZCwE4amUko1AdCCf6Znjrt,0,0,,
NA45Qgq1xn2EcrrKik7o9rVPMSgmDXK6kv8134Q8ADW,0,0,,
