LIQUIDITY_POOL_ADDRESS,MINT,SIG_INACTIVE,SIG_NO_PRICE,SIG_NO_METADATA,SIG_NO_IMAGE,SIG_MUTABLE,SIG_DRAINED,SIG_SHORT_LIFE,SIG_FEW_TXN,SIG_NO_NAME,RUG_SIGNALS,RUG_SCORE,RUG_LABEL,INACTIVITY_STATUS
821L241gacEqKJiCp9H7E9rqRXB31WoHLBqwhn8NMyWS,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,0,1,0,0,2,0.2222222222222222,UNCERTAIN,Active
821L241gacEqKJiCp9H7E9rqRXB31WoHLBqwhn8NMyWS,5L87fjh5XZWERN4UGbK62TM1funxFvXSRUGmvbHBGqn1,0,1,1,0,1,1,1,0,1,6,0.6666666666666666,LIKELY_RUG,Active
3nesbuhAwCMGtsyypYtg4oRPwJ3FmHnytC5bqskhPh1x,A94X2fRy3wydNShU4dRaDyap2UuoeWJGWyATtyp61WZf,0,1,1,0,1,0,1,0,1,5,0.5555555555555556,LIKELY_RUG,Active
3nesbuhAwCMGtsyypYtg4oRPwJ3FmHnytC5bqskhPh1x,9QBTKuSCDaJjtxYnYcVzoiKENMdJ5DRei5ZUCEeWyZnj,0,1,0,0,1,0,1,1,0,4,0.4444444444444444,SUSPICIOUS,Active
85anbeqV36qqMvdVQw2ca7YRdJoBQ95DoUUFW9vC4Bav,meebAU3nZrU5PbUt3dVK6ExgbNWCUAkV7C3DaJKMZZ4,0,1,1,0,1,1,1,0,1,6,0.6666666666666666,LIKELY_RUG,Active
85anbeqV36qqMvdVQw2ca7YRdJoBQ95DoUUFW9vC4Bav,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,1,1,0,0,3,0.3333333333333333,SUSPICIOUS,Active
AG1kioZxuXdVDKACnPoWe8ScVVkpeCm3nz9aHxBsNKBa,BiDB55p4G3n1fGhwKFpxsokBMqgctL4qnZpDH1bVQxMD,0,1,1,0,1,0,1,0,1,5,0.5555555555555556,LIKELY_RUG,Active
AG1kioZxuXdVDKACnPoWe8ScVVkpeCm3nz9aHxBsNKBa,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,0,0,0,0,1,1,1,0,0,3,0.3333333333333333,SUSPICIOUS,Active
GtmAXdWvDr8pDZ3WYdY7wug2B7VbpWjSmifx46mjFCGD,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,0,0,0,0,1,1,1,1,0,4,0.4444444444444444,SUSPICIOUS,Active
GtmAXdWvDr8pDZ3WYdY7wug2B7VbpWjSmifx46mjFCGD,7Af1biRuBcAQTEU3YkWaGGtQDFoxYmqLMyrBNQKnuogn,0,1,1,0,1,1,1,1,1,7,0.7777777777777778,VERIFIED_RUG,Active
